sequence,label
"[[np.float64(0.0039663314819371465), np.float64(201.35587075431062), np.float64(0.0039663314819371465)], [np.float64(0.0030758380889874815), np.float64(245.34831319769617), np.float64(-0.000890493392949665)], [np.float64(0.005400657653808594), np.float64(156.23394564853322), np.float64(0.0023248195648211123)], [np.float64(0.001211404800415039), np.float64(452.2012432153167), np.float64(-0.004189252853393555)], [np.float64(0.004615068435668945), np.float64(178.09221943719126), np.float64(0.0034036636352539062)], [np.float64(0.009353399276733398), np.float64(96.58663529448175), np.float64(0.004738330841064453)], [np.float64(0.008064270019529474), np.float64(110.32328007058972), np.float64(-0.0012891292572039248)], [np.float64(0.003316879272462714), np.float64(231.64882242109013), np.float64(-0.00474739074706676)], [np.float64(0.003518819808959961), np.float64(221.296719558764), np.float64(0.00020194053649724708)], [np.float64(0.029689311981201172), np.float64(32.58463404499107), np.float64(0.02617049217224121)], [np.float64(0.0030951499938964844), np.float64(244.19129982794902), np.float64(-0.026594161987304688)], [np.float64(0.02313852310180664), np.float64(41.427555272640326), np.float64(0.020043373107910156)], [np.float64(0.027046442031862128), np.float64(35.6551465196174), np.float64(0.003907918930055487)], [np.float64(0.009448766708372247), np.float64(95.70507485813933), np.float64(-0.01759767532348988)], [np.float64(0.003598213195799005), np.float64(217.4757797036498), np.float64(-0.005850553512573242)], [np.float64(0.034342527389528144), np.float64(28.29452429868658), np.float64(0.03074431419372914)], [np.float64(0.009598493576049805), np.float64(94.35303166666756), np.float64(-0.02474403381347834)], [np.float64(0.031391143798828125), np.float64(30.87263624312578), np.float64(0.02179265022277832)], [np.float64(0.0056421756744384766), np.float64(150.55307914368572), np.float64(-0.02574896812438965)], [np.float64(0.03290390968322754), np.float64(29.495123404446353), np.float64(0.027261734008789062)], [np.float64(0.010563373565673828), np.float64(86.47995278545058), np.float64(-0.02234053611755371)], [np.float64(0.07535243034362793), np.float64(13.097160044538857), np.float64(0.0647890567779541)], [np.float64(0.021607160568237305), np.float64(44.23377261295626), np.float64(-0.053745269775390625)], [np.float64(0.0019540786743164062), np.float64(338.5150194862047), np.float64(-0.0196530818939209)], [np.float64(0.0030488967895507812), np.float64(246.98085724999387), np.float64(0.001094818115234375)], [np.float64(0.00023412704467773438), np.float64(810.289349311787), np.float64(-0.002814769744873047)], [np.float64(0.01329898834228338), np.float64(69.93501750350485), np.float64(0.013064861297605646)], [0, 1000.0, np.float64(-0.01329898834228338)], [np.float64(0.018846511840820312), np.float64(50.38668799940953), np.float64(0.018846511840820312)], [np.float64(0.006290435791017401), np.float64(137.16601156162807), np.float64(-0.012556076049802911)]]",high
"[[np.float64(0.034342527389528144), np.float64(28.29452429868658), np.float64(0.034342527389528144)], [np.float64(0.009598493576049805), np.float64(94.35303166666756), np.float64(-0.02474403381347834)], [np.float64(0.031391143798828125), np.float64(30.87263624312578), np.float64(0.02179265022277832)], [np.float64(0.0056421756744384766), np.float64(150.55307914368572), np.float64(-0.02574896812438965)], [np.float64(0.03290390968322754), np.float64(29.495123404446353), np.float64(0.027261734008789062)], [np.float64(0.010563373565673828), np.float64(86.47995278545058), np.float64(-0.02234053611755371)], [np.float64(0.07535243034362793), np.float64(13.097160044538857), np.float64(0.0647890567779541)], [np.float64(0.021607160568237305), np.float64(44.23377261295626), np.float64(-0.053745269775390625)], [np.float64(0.0019540786743164062), np.float64(338.5150194862047), np.float64(-0.0196530818939209)], [np.float64(0.0030488967895507812), np.float64(246.98085724999387), np.float64(0.001094818115234375)], [np.float64(0.00023412704467773438), np.float64(810.289349311787), np.float64(-0.002814769744873047)], [np.float64(0.01329898834228338), np.float64(69.93501750350485), np.float64(0.013064861297605646)], [0, 1000.0, np.float64(-0.01329898834228338)], [np.float64(0.018846511840820312), np.float64(50.38668799940953), np.float64(0.018846511840820312)], [np.float64(0.006290435791017401), np.float64(137.16601156162807), np.float64(-0.012556076049802911)], [np.float64(1.4543533325195312e-05), np.float64(985.6649489672183), np.float64(-0.006275892257692206)], [np.float64(0.008772850036621094), np.float64(102.3242960091245), np.float64(0.008758306503295898)], [np.float64(0.007455110549926758), np.float64(118.27166470445054), np.float64(-0.001317739486694336)], [np.float64(0.0028162002563476562), np.float64(262.0407559421588), np.float64(-0.0046389102935791016)], [np.float64(0.003223419189453125), np.float64(236.7749813935676), np.float64(0.00040721893310546875)], [np.float64(0.00707149505615412), np.float64(123.89278479921124), np.float64(0.003848075866700995)], [np.float64(0.007064819335935724), np.float64(123.9953380659301), np.float64(-6.675720218396464e-06)], [np.float64(0.007347345352171075), np.float64(119.79856562900062), np.float64(0.00028252601623535156)], [np.float64(0.005512475967409003), np.float64(153.5514303629517), np.float64(-0.0018348693847620723)], [np.float64(0.0008122920989990234), np.float64(551.7874301567205), np.float64(-0.0047001838684099795)], [np.float64(0.0072743892669677734), np.float64(120.85484109287732), np.float64(0.00646209716796875)], [np.float64(0.017561912536621094), np.float64(53.87375886116713), np.float64(0.01028752326965332)], [np.float64(0.02845311164855957), np.float64(33.95227003286445), np.float64(0.010891199111938477)], [np.float64(0.021619319915771484), np.float64(44.20999409901545), np.float64(-0.006833791732788086)], [np.float64(0.027617216110227716), np.float64(34.944000008533415), np.float64(0.0059978961944562315)]]",high
"[[np.float64(1.4543533325195312e-05), np.float64(985.6649489672183), np.float64(1.4543533325195312e-05)], [np.float64(0.008772850036621094), np.float64(102.3242960091245), np.float64(0.008758306503295898)], [np.float64(0.007455110549926758), np.float64(118.27166470445054), np.float64(-0.001317739486694336)], [np.float64(0.0028162002563476562), np.float64(262.0407559421588), np.float64(-0.0046389102935791016)], [np.float64(0.003223419189453125), np.float64(236.7749813935676), np.float64(0.00040721893310546875)], [np.float64(0.00707149505615412), np.float64(123.89278479921124), np.float64(0.003848075866700995)], [np.float64(0.007064819335935724), np.float64(123.9953380659301), np.float64(-6.675720218396464e-06)], [np.float64(0.007347345352171075), np.float64(119.79856562900062), np.float64(0.00028252601623535156)], [np.float64(0.005512475967409003), np.float64(153.5514303629517), np.float64(-0.0018348693847620723)], [np.float64(0.0008122920989990234), np.float64(551.7874301567205), np.float64(-0.0047001838684099795)], [np.float64(0.0072743892669677734), np.float64(120.85484109287732), np.float64(0.00646209716796875)], [np.float64(0.017561912536621094), np.float64(53.87375886116713), np.float64(0.01028752326965332)], [np.float64(0.02845311164855957), np.float64(33.95227003286445), np.float64(0.010891199111938477)], [np.float64(0.021619319915771484), np.float64(44.20999409901545), np.float64(-0.006833791732788086)], [np.float64(0.027617216110227716), np.float64(34.944000008533415), np.float64(0.0059978961944562315)], [np.float64(0.020390510559085584), np.float64(46.749702268104656), np.float64(-0.007226705551142132)], [np.float64(0.044268846511839044), np.float64(22.09024698118766), np.float64(0.02387833595275346)], [np.float64(0.09984230995178223), np.float64(9.916472564721596), np.float64(0.05557346343994318)], [np.float64(0.005188465118408203), np.float64(161.59095686350415), np.float64(-0.09465384483337402)], [np.float64(0.011091709136961114), np.float64(82.70129463693995), np.float64(0.005903244018552911)], [np.float64(0.017051219940187323), np.float64(55.39791788663025), np.float64(0.005959510803226209)], [np.float64(0.06485366821288885), np.float64(15.185182953928154), np.float64(0.047802448272701525)], [np.float64(0.02833604812622248), np.float64(34.08775427751411), np.float64(-0.03651762008666637)], [np.float64(0.04160070419311346), np.float64(23.473790373673054), np.float64(0.013264656066890979)], [np.float64(0.00939631462097168), np.float64(96.18793163327102), np.float64(-0.03220438957214178)], [np.float64(0.027309656143190253), np.float64(35.323636392543925), np.float64(0.017913341522218573)], [0, 1000.0, np.float64(-0.027309656143190253)], [np.float64(0.01334524154663086), np.float64(69.70952679670013), np.float64(0.01334524154663086)], [0, 1000.0, np.float64(-0.01334524154663086)], [np.float64(0.013528108596801758), np.float64(68.83208459910202), np.float64(0.013528108596801758)]]",high
"[[np.float64(0.020390510559085584), np.float64(46.749702268104656), np.float64(0.020390510559085584)], [np.float64(0.044268846511839044), np.float64(22.09024698118766), np.float64(0.02387833595275346)], [np.float64(0.09984230995178223), np.float64(9.916472564721596), np.float64(0.05557346343994318)], [np.float64(0.005188465118408203), np.float64(161.59095686350415), np.float64(-0.09465384483337402)], [np.float64(0.011091709136961114), np.float64(82.70129463693995), np.float64(0.005903244018552911)], [np.float64(0.017051219940187323), np.float64(55.39791788663025), np.float64(0.005959510803226209)], [np.float64(0.06485366821288885), np.float64(15.185182953928154), np.float64(0.047802448272701525)], [np.float64(0.02833604812622248), np.float64(34.08775427751411), np.float64(-0.03651762008666637)], [np.float64(0.04160070419311346), np.float64(23.473790373673054), np.float64(0.013264656066890979)], [np.float64(0.00939631462097168), np.float64(96.18793163327102), np.float64(-0.03220438957214178)], [np.float64(0.027309656143190253), np.float64(35.323636392543925), np.float64(0.017913341522218573)], [0, 1000.0, np.float64(-0.027309656143190253)], [np.float64(0.01334524154663086), np.float64(69.70952679670013), np.float64(0.01334524154663086)], [0, 1000.0, np.float64(-0.01334524154663086)], [np.float64(0.013528108596801758), np.float64(68.83208459910202), np.float64(0.013528108596801758)], [np.float64(0.008852958679199219), np.float64(101.49235702278142), np.float64(-0.004675149917602539)], [np.float64(0.004102945327758789), np.float64(195.96525844794803), np.float64(-0.00475001335144043)], [np.float64(0.005543231964111328), np.float64(152.82967278018782), np.float64(0.001440286636352539)], [np.float64(0.004515647888183594), np.float64(181.3023637970695), np.float64(-0.0010275840759277344)], [np.float64(0.007059812545776367), np.float64(124.07236450232779), np.float64(0.0025441646575927734)], [np.float64(0.00016999244689941406), np.float64(854.7063723788051), np.float64(-0.006889820098876953)], [np.float64(0.007132530212402344), np.float64(122.96296157313637), np.float64(0.00696253776550293)], [np.float64(0.00647425651550293), np.float64(133.79257159903773), np.float64(-0.0006582736968994141)], [np.float64(0.00727534294128418), np.float64(120.84091343347016), np.float64(0.00080108642578125)], [np.float64(0.00601649284362793), np.float64(142.52134539097491), np.float64(-0.00125885009765625)], [np.float64(0.008613348007202148), np.float64(104.02203262077039), np.float64(0.0025968551635742188)], [np.float64(0.007131338119506836), np.float64(122.98098852893965), np.float64(-0.0014820098876953125)], [np.float64(0.004769325256347656), np.float64(173.33049456689196), np.float64(-0.0023620128631591797)], [np.float64(0.0022187232971191406), np.float64(310.68218908255693), np.float64(-0.0025506019592285156)], [np.float64(0.003286600112915039), np.float64(233.28511492992163), np.float64(0.0010678768157958984)]]",high
"[[np.float64(0.008852958679199219), np.float64(101.49235702278142), np.float64(0.008852958679199219)], [np.float64(0.004102945327758789), np.float64(195.96525844794803), np.float64(-0.00475001335144043)], [np.float64(0.005543231964111328), np.float64(152.82967278018782), np.float64(0.001440286636352539)], [np.float64(0.004515647888183594), np.float64(181.3023637970695), np.float64(-0.0010275840759277344)], [np.float64(0.007059812545776367), np.float64(124.07236450232779), np.float64(0.0025441646575927734)], [np.float64(0.00016999244689941406), np.float64(854.7063723788051), np.float64(-0.006889820098876953)], [np.float64(0.007132530212402344), np.float64(122.96296157313637), np.float64(0.00696253776550293)], [np.float64(0.00647425651550293), np.float64(133.79257159903773), np.float64(-0.0006582736968994141)], [np.float64(0.00727534294128418), np.float64(120.84091343347016), np.float64(0.00080108642578125)], [np.float64(0.00601649284362793), np.float64(142.52134539097491), np.float64(-0.00125885009765625)], [np.float64(0.008613348007202148), np.float64(104.02203262077039), np.float64(0.0025968551635742188)], [np.float64(0.007131338119506836), np.float64(122.98098852893965), np.float64(-0.0014820098876953125)], [np.float64(0.004769325256347656), np.float64(173.33049456689196), np.float64(-0.0023620128631591797)], [np.float64(0.0022187232971191406), np.float64(310.68218908255693), np.float64(-0.0025506019592285156)], [np.float64(0.003286600112915039), np.float64(233.28511492992163), np.float64(0.0010678768157958984)], [np.float64(0.0034551620483398438), np.float64(224.4587265625134), np.float64(0.0001685619354248047)], [np.float64(0.014728546142578125), np.float64(63.57866715302691), np.float64(0.011273384094238281)], [np.float64(0.019263505935668945), np.float64(49.349801716184984), np.float64(0.00453495979309082)], [np.float64(0.0008950233459472656), np.float64(527.6979843750314), np.float64(-0.01836848258972168)], [np.float64(0.0276339054107666), np.float64(34.92363286301809), np.float64(0.026738882064819336)], [np.float64(0.003854513168334961), np.float64(205.99387937039788), np.float64(-0.02377939224243164)], [np.float64(0.008356332778930664), np.float64(106.87948191110513), np.float64(0.004501819610595703)], [np.float64(0.011188507080078125), np.float64(82.0445025325932), np.float64(0.002832174301147461)], [np.float64(0.000774383544921875), np.float64(563.5760108697522), np.float64(-0.01041412353515625)], [np.float64(0.010474205017089844), np.float64(87.15200735132288), np.float64(0.009699821472167969)], [np.float64(0.016556262969970703), np.float64(56.95973008096658), np.float64(0.006082057952880859)], [np.float64(0.0074427127838134766), np.float64(118.44534163441142), np.float64(-0.009113550186157227)], [np.float64(0.00605463981628418), np.float64(141.7506812596876), np.float64(-0.0013880729675292969)], [np.float64(0.00028204917907714844), np.float64(780.0012794515616), np.float64(-0.005772590637207031)], [np.float64(0.00806570053100586), np.float64(110.305871739296), np.float64(0.007783651351928711)]]",high
"[[np.float64(0.0034551620483398438), np.float64(224.4587265625134), np.float64(0.0034551620483398438)], [np.float64(0.014728546142578125), np.float64(63.57866715302691), np.float64(0.011273384094238281)], [np.float64(0.019263505935668945), np.float64(49.349801716184984), np.float64(0.00453495979309082)], [np.float64(0.0008950233459472656), np.float64(527.6979843750314), np.float64(-0.01836848258972168)], [np.float64(0.0276339054107666), np.float64(34.92363286301809), np.float64(0.026738882064819336)], [np.float64(0.003854513168334961), np.float64(205.99387937039788), np.float64(-0.02377939224243164)], [np.float64(0.008356332778930664), np.float64(106.87948191110513), np.float64(0.004501819610595703)], [np.float64(0.011188507080078125), np.float64(82.0445025325932), np.float64(0.002832174301147461)], [np.float64(0.000774383544921875), np.float64(563.5760108697522), np.float64(-0.01041412353515625)], [np.float64(0.010474205017089844), np.float64(87.15200735132288), np.float64(0.009699821472167969)], [np.float64(0.016556262969970703), np.float64(56.95973008096658), np.float64(0.006082057952880859)], [np.float64(0.0074427127838134766), np.float64(118.44534163441142), np.float64(-0.009113550186157227)], [np.float64(0.00605463981628418), np.float64(141.7506812596876), np.float64(-0.0013880729675292969)], [np.float64(0.00028204917907714844), np.float64(780.0012794515616), np.float64(-0.005772590637207031)], [np.float64(0.00806570053100586), np.float64(110.305871739296), np.float64(0.007783651351928711)], [np.float64(0.002930879592895508), np.float64(254.39598857399608), np.float64(-0.0051348209381103516)], [np.float64(0.011118412017822266), np.float64(82.51906260732208), np.float64(0.008187532424926758)], [np.float64(0.006356954574584961), np.float64(135.92580868373983), np.float64(-0.004761457443237305)], [np.float64(0.0006949901580810547), np.float64(589.9739271242304), np.float64(-0.005661964416503906)], [np.float64(0.007158994674682617), np.float64(122.56411970741966), np.float64(0.0064640045166015625)], [np.float64(0.007163286209106445), np.float64(122.4996863253996), np.float64(4.291534423828125e-06)], [np.float64(0.003779172897338867), np.float64(209.24122677311354), np.float64(-0.003384113311767578)], [np.float64(0.006203651428222656), np.float64(138.81848809093864), np.float64(0.002424478530883789)], [np.float64(0.0037386417388916016), np.float64(211.03093567776372), np.float64(-0.0024650096893310547)], [np.float64(0.007767438888549805), np.float64(114.05839410024184), np.float64(0.004028797149658203)], [np.float64(0.0067234039306640625), np.float64(129.47658946461698), np.float64(-0.0010440349578857422)], [np.float64(0.007373332977294922), np.float64(119.42675667044338), np.float64(0.0006499290466308594)], [np.float64(0.005217552185058594), np.float64(160.83499908583013), np.float64(-0.002155780792236328)], [np.float64(0.0018451213836669922), np.float64(351.4788527971801), np.float64(-0.0033724308013916016)], [np.float64(0.006834983825683594), np.float64(127.63268211504584), np.float64(0.0049898624420166016)]]",high
"[[np.float64(0.002930879592895508), np.float64(254.39598857399608), np.float64(0.002930879592895508)], [np.float64(0.011118412017822266), np.float64(82.51906260732208), np.float64(0.008187532424926758)], [np.float64(0.006356954574584961), np.float64(135.92580868373983), np.float64(-0.004761457443237305)], [np.float64(0.0006949901580810547), np.float64(589.9739271242304), np.float64(-0.005661964416503906)], [np.float64(0.007158994674682617), np.float64(122.56411970741966), np.float64(0.0064640045166015625)], [np.float64(0.007163286209106445), np.float64(122.4996863253996), np.float64(4.291534423828125e-06)], [np.float64(0.003779172897338867), np.float64(209.24122677311354), np.float64(-0.003384113311767578)], [np.float64(0.006203651428222656), np.float64(138.81848809093864), np.float64(0.002424478530883789)], [np.float64(0.0037386417388916016), np.float64(211.03093567776372), np.float64(-0.0024650096893310547)], [np.float64(0.007767438888549805), np.float64(114.05839410024184), np.float64(0.004028797149658203)], [np.float64(0.0067234039306640625), np.float64(129.47658946461698), np.float64(-0.0010440349578857422)], [np.float64(0.007373332977294922), np.float64(119.42675667044338), np.float64(0.0006499290466308594)], [np.float64(0.005217552185058594), np.float64(160.83499908583013), np.float64(-0.002155780792236328)], [np.float64(0.0018451213836669922), np.float64(351.4788527971801), np.float64(-0.0033724308013916016)], [np.float64(0.006834983825683594), np.float64(127.63268211504584), np.float64(0.0049898624420166016)], [np.float64(0.003002166748046875), np.float64(249.8646515635604), np.float64(-0.0038328170776367188)], [np.float64(0.018614768981933594), np.float64(50.98199223865758), np.float64(0.015612602233886719)], [np.float64(0.013796091079711914), np.float64(67.58541797374976), np.float64(-0.00481867790222168)], [np.float64(0.006998777389526367), np.float64(125.01910620858185), np.float64(-0.006797313690185547)], [np.float64(0.007723569869995117), np.float64(114.63197004239271), np.float64(0.00072479248046875)], [np.float64(0.007634162902832031), np.float64(115.81898688429852), np.float64(-8.940696716308594e-05)], [np.float64(0.0019779205322265625), np.float64(335.8047970649874), np.float64(-0.005656242370605469)], [np.float64(0.004049777984619141), np.float64(198.02850799497494), np.float64(0.002071857452392578)], [np.float64(0.0070111751556396484), np.float64(124.82563176714807), np.float64(0.002961397171020508)], [np.float64(0.0025331974029541016), np.float64(283.0297563232389), np.float64(-0.004477977752685547)], [np.float64(0.04633045196533203), np.float64(21.128046711501224), np.float64(0.04379725456237793)], [np.float64(0.0247042179107666), np.float64(38.90412085174297), np.float64(-0.02162623405456543)], [np.float64(0.02979421615600586), np.float64(32.47363059783446), np.float64(0.005089998245239258)], [np.float64(0.012726306915283203), np.float64(72.85280783621235), np.float64(-0.017067909240722656)], [np.float64(0.016317367553710938), np.float64(57.745497224011395), np.float64(0.0035910606384277344)]]",high
"[[np.float64(0.003002166748046875), np.float64(249.8646515635604), np.float64(0.003002166748046875)], [np.float64(0.018614768981933594), np.float64(50.98199223865758), np.float64(0.015612602233886719)], [np.float64(0.013796091079711914), np.float64(67.58541797374976), np.float64(-0.00481867790222168)], [np.float64(0.006998777389526367), np.float64(125.01910620858185), np.float64(-0.006797313690185547)], [np.float64(0.007723569869995117), np.float64(114.63197004239271), np.float64(0.00072479248046875)], [np.float64(0.007634162902832031), np.float64(115.81898688429852), np.float64(-8.940696716308594e-05)], [np.float64(0.0019779205322265625), np.float64(335.8047970649874), np.float64(-0.005656242370605469)], [np.float64(0.004049777984619141), np.float64(198.02850799497494), np.float64(0.002071857452392578)], [np.float64(0.0070111751556396484), np.float64(124.82563176714807), np.float64(0.002961397171020508)], [np.float64(0.0025331974029541016), np.float64(283.0297563232389), np.float64(-0.004477977752685547)], [np.float64(0.04633045196533203), np.float64(21.128046711501224), np.float64(0.04379725456237793)], [np.float64(0.0247042179107666), np.float64(38.90412085174297), np.float64(-0.02162623405456543)], [np.float64(0.02979421615600586), np.float64(32.47363059783446), np.float64(0.005089998245239258)], [np.float64(0.012726306915283203), np.float64(72.85280783621235), np.float64(-0.017067909240722656)], [np.float64(0.016317367553710938), np.float64(57.745497224011395), np.float64(0.0035910606384277344)], [np.float64(0.025652647018432617), np.float64(37.519725500750944), np.float64(0.00933527946472168)], [np.float64(0.03226590156555176), np.float64(30.060811610034406), np.float64(0.006613254547119141)], [np.float64(0.005454540252685547), np.float64(154.9297023260377), np.float64(-0.02681136131286621)], [np.float64(0.01967620849609375), np.float64(48.36476669254544), np.float64(0.014221668243408203)], [np.float64(0.019533872604370117), np.float64(48.70001968294939), np.float64(-0.0001423358917236328)], [np.float64(0.06112957000732422), np.float64(16.095395475650545), np.float64(0.0415956974029541)], [np.float64(0.002156972885131836), np.float64(316.75913490091307), np.float64(-0.05897259712219238)], [np.float64(0.010691404342651367), np.float64(85.53292407755532), np.float64(0.008534431457519531)], [np.float64(0.0162656307220459), np.float64(57.918532841266774), np.float64(0.005574226379394531)], [np.float64(0.047071218490600586), np.float64(20.802468325106656), np.float64(0.030805587768554688)], [np.float64(0.02185654640197754), np.float64(43.751141682256964), np.float64(-0.025214672088623047)], [np.float64(0.028940439224243164), np.float64(33.39964362280587), np.float64(0.007083892822265625)], [np.float64(0.06898093223571777), np.float64(14.2896067264678), np.float64(0.04004049301147461)], [np.float64(0.017696142196655273), np.float64(53.48697017178759), np.float64(-0.0512847900390625)], [np.float64(0.12705278396606445), np.float64(7.8092796503745845), np.float64(0.10935664176940918)]]",high
"[[np.float64(0.025652647018432617), np.float64(37.519725500750944), np.float64(0.025652647018432617)], [np.float64(0.03226590156555176), np.float64(30.060811610034406), np.float64(0.006613254547119141)], [np.float64(0.005454540252685547), np.float64(154.9297023260377), np.float64(-0.02681136131286621)], [np.float64(0.01967620849609375), np.float64(48.36476669254544), np.float64(0.014221668243408203)], [np.float64(0.019533872604370117), np.float64(48.70001968294939), np.float64(-0.0001423358917236328)], [np.float64(0.06112957000732422), np.float64(16.095395475650545), np.float64(0.0415956974029541)], [np.float64(0.002156972885131836), np.float64(316.75913490091307), np.float64(-0.05897259712219238)], [np.float64(0.010691404342651367), np.float64(85.53292407755532), np.float64(0.008534431457519531)], [np.float64(0.0162656307220459), np.float64(57.918532841266774), np.float64(0.005574226379394531)], [np.float64(0.047071218490600586), np.float64(20.802468325106656), np.float64(0.030805587768554688)], [np.float64(0.02185654640197754), np.float64(43.751141682256964), np.float64(-0.025214672088623047)], [np.float64(0.028940439224243164), np.float64(33.39964362280587), np.float64(0.007083892822265625)], [np.float64(0.06898093223571777), np.float64(14.2896067264678), np.float64(0.04004049301147461)], [np.float64(0.017696142196655273), np.float64(53.48697017178759), np.float64(-0.0512847900390625)], [np.float64(0.12705278396606445), np.float64(7.8092796503745845), np.float64(0.10935664176940918)], [np.float64(0.01145029067993164), np.float64(80.31940986019536), np.float64(-0.11560249328613281)], [np.float64(0.014423370361328125), np.float64(64.83667165948084), np.float64(0.0029730796813964844)], [np.float64(0.05871248245239258), np.float64(16.746917209434017), np.float64(0.04428911209106445)], [np.float64(0.03663825988769531), np.float64(26.5687096848736), np.float64(-0.022074222564697266)], [np.float64(0.04178285598754883), np.float64(23.373848634392985), np.float64(0.005144596099853516)], [np.float64(0.003149747848510742), np.float64(240.9784971293808), np.float64(-0.038633108139038086)], [np.float64(0.01574087142944336), np.float64(59.73404695296978), np.float64(0.012591123580932617)], [np.float64(0.023988008499145508), np.float64(40.019195608733526), np.float64(0.008247137069702148)], [np.float64(0.028057575225830078), np.float64(34.41443383448845), np.float64(0.00406956672668457)], [np.float64(0.043973445892333984), np.float64(22.235343104328514), np.float64(0.015915870666503906)], [np.float64(0.00020956993103027344), np.float64(826.7401283266289), np.float64(-0.04376387596130371)], [np.float64(0.04917621612548828), np.float64(19.92976109436089), np.float64(0.04896664619445801)], [np.float64(0.04173445701599121), np.float64(23.400320720719595), np.float64(-0.00744175910949707)], [np.float64(0.03346395492553711), np.float64(29.015822535765324), np.float64(-0.008270502090454102)], [np.float64(0.017261743545532227), np.float64(54.75928393730247), np.float64(-0.016202211380004883)]]",high
"[[np.float64(0.01145029067993164), np.float64(80.31940986019536), np.float64(0.01145029067993164)], [np.float64(0.014423370361328125), np.float64(64.83667165948084), np.float64(0.0029730796813964844)], [np.float64(0.05871248245239258), np.float64(16.746917209434017), np.float64(0.04428911209106445)], [np.float64(0.03663825988769531), np.float64(26.5687096848736), np.float64(-0.022074222564697266)], [np.float64(0.04178285598754883), np.float64(23.373848634392985), np.float64(0.005144596099853516)], [np.float64(0.003149747848510742), np.float64(240.9784971293808), np.float64(-0.038633108139038086)], [np.float64(0.01574087142944336), np.float64(59.73404695296978), np.float64(0.012591123580932617)], [np.float64(0.023988008499145508), np.float64(40.019195608733526), np.float64(0.008247137069702148)], [np.float64(0.028057575225830078), np.float64(34.41443383448845), np.float64(0.00406956672668457)], [np.float64(0.043973445892333984), np.float64(22.235343104328514), np.float64(0.015915870666503906)], [np.float64(0.00020956993103027344), np.float64(826.7401283266289), np.float64(-0.04376387596130371)], [np.float64(0.04917621612548828), np.float64(19.92976109436089), np.float64(0.04896664619445801)], [np.float64(0.04173445701599121), np.float64(23.400320720719595), np.float64(-0.00744175910949707)], [np.float64(0.03346395492553711), np.float64(29.015822535765324), np.float64(-0.008270502090454102)], [np.float64(0.017261743545532227), np.float64(54.75928393730247), np.float64(-0.016202211380004883)], [np.float64(0.03808116912841797), np.float64(25.58777084467638), np.float64(0.020819425582885742)], [np.float64(0.039819955825805664), np.float64(24.497821709248825), np.float64(0.0017387866973876953)], [np.float64(0.06507706642150879), np.float64(15.13384376995419), np.float64(0.025257110595703125)], [np.float64(0.04369831085205078), np.float64(22.372210066504547), np.float64(-0.021378755569458008)], [np.float64(0.025921344757080078), np.float64(37.14524697868254), np.float64(-0.017776966094970703)], [np.float64(0.013277530670166016), np.float64(70.04012270059947), np.float64(-0.012643814086914062)], [np.float64(0.0005779266357421875), np.float64(633.7430254034871), np.float64(-0.012699604034423828)], [np.float64(0.0308840274810791), np.float64(31.363666355934136), np.float64(0.030306100845336914)], [np.float64(0.06705904006958008), np.float64(14.693125247985442), np.float64(0.03617501258850098)], [np.float64(0.023529767990112305), np.float64(40.76679406030622), np.float64(-0.04352927207946777)], [np.float64(0.005143880844116211), np.float64(162.76357328083057), np.float64(-0.018385887145996094)], [np.float64(0.021943092346191406), np.float64(43.58610360412038), np.float64(0.016799211502075195)], [np.float64(0.05987143516540527), np.float64(16.428066748922728), np.float64(0.03792834281921387)], [np.float64(0.00862574577331543), np.float64(103.8880543440289), np.float64(-0.051245689392089844)], [np.float64(0.06662940979003906), np.float64(14.786466466358059), np.float64(0.05800366401672363)]]",high
